% Model:              negative index.PE and PM.mph
% Version:            COMSOL 4.4.0.248
% Date:               Jun 30 2014, 10:57
% Table:              Table 1 - Global Evaluation 1 (emw.S11)
% freq                                            S-parameter, 11 component (1)                     S-parameter, 21 component (1)
8.5E9                                             0.02441139319376987+0.9312743294696328i           0.31531822292806533-0.006197086882743653i
8.6E9                                             0.059288277805066444+0.9292851095708395i          0.3108710078613221-0.01651317136037198i
8.7E9                                             0.09632861650316227+0.9259980515937867i           0.30427144929455363-0.02675279808894728i
8.8E9                                             0.1359104860658088+0.9210878022154196i            0.29509596158778706-0.036631132484939405i
8.9E9                                             0.17848288804319287+0.914089767958028i            0.28284233507193973-0.045717648853175266i
9.0E9                                             0.22459600634091614+0.9043485632201144i           0.26691553310306526-0.05339159566613426i
9.1E9                                             0.2748756808584842+0.8908832723315868i            0.24663213291562064-0.0587048367276626i
9.2E9                                             0.3299792269043574+0.8722345960110266i            0.22126665649658167-0.06023076947093185i
9.3E9                                             0.3905920371390279+0.8461663527461291i            0.1900756717426009-0.055787330273196524i
9.4E9                                             0.4568109650002179+0.8095157970105292i            0.1528849345794773-0.042211112122649996i
9.5E9                                             0.5279695638505207+0.757498984537423i             0.1102932989820522-0.014771231315493117i
9.6E9                                             0.6006275998844738+0.6836493863045139i            0.06561801093134871+0.03297785228639631i
9.7E9                                             0.6669967586712481+0.5806276694749245i            0.026593160264470308+0.10834543849047899i
9.8E9                                             0.7107889174718642+0.44382491167011184i           0.009359327806554704+0.21594907438747393i
9.9E9                                             0.7085237097548266+0.27988618922678477i           0.03729002619945408+0.34915639819506844i
1.0E10                                            0.6398968709384742+0.11616209653752954i           0.13059319569192088+0.48066572949790043i
1.01E10                                           0.5101325122672653-0.004915021857081536i          0.2839863251007342+0.5680979156548658i
1.02E10                                           0.35615025194757954-0.05589625705569562i          0.4605167660696256+0.5840119471687307i
1.03E10                                           0.22010134031249437-0.04410519033741146i          0.6179719179682488+0.5356943144722688i
1.04E10                                           0.12243057304090935+0.002959491868111207i         0.7357923240449368+0.45061455559654706i
1.05E10                                           0.06242065696398446+0.06054161697243294i          0.8145578710671819+0.3535289220842637i
1.06E10                                           0.030833963543237853+0.11471746207622531i         0.8633563812262438+0.2583876065159347i
1.07E10                                           0.018018539591705254+0.15995868167210467i         0.8917059525772931+0.17077565604788278i
1.08E10                                           0.01678898185617505+0.19515804556439834i          0.9066535617210295+0.09186623802274396i
1.09E10                                           0.022296769165841477+0.22106512165739772i         0.9129271153684152+0.020982948329767496i
1.1E10                                            0.03142338106415372+0.2389626434524573i           0.9135139625103535-0.04305734658591438i
1.11E10                                           0.042231587569931575+0.25017133265957464i         0.9102292743518028-0.10148215127739482i
1.12E10                                           0.05351989041502947+0.2558987460910451i           0.9041788679622037-0.15539040301603324i
1.13E10                                           0.0644610340706498+0.2571013441819266i            0.896048370309614-0.2056002319918145i
1.14E10                                           0.07460633038848903+0.2546117768284381i           0.8862139720406994-0.25283344113900197i
1.15E10                                           0.08359080871446234+0.24909280439220122i          0.874915790374963-0.29757734371392797i
1.16E10                                           0.091240201769447+0.24110577604848432i            0.8622741668629333-0.3402565369611987i
1.17E10                                           0.0973726326190193+0.2311070702145967i            0.8483571003067427-0.3811239107264865i
1.18E10                                           0.10195665051019483+0.21948599803801355i          0.8331797831016208-0.42044093558889195i
1.19E10                                           0.1048829197548354+0.20659942459594663i           0.8167663543959534-0.4583051442506894i
1.2E10                                            0.10616592148868044+0.19271711474423203i          0.7990943800798015-0.494858446692192i
1.21E10                                           0.10574383523516082+0.17813169779244567i          0.7801711918957474-0.5301062560605532i
1.22E10                                           0.10368127903672847+0.1630590923780675i           0.7599947935790512-0.5641375423931002i
