% Model:              negative index.PE and PM.mph
% Version:            COMSOL 4.4.0.248
% Date:               Jun 30 2014, 10:57
% Table:              Table 1 - Global Evaluation 1 (emw.S11)
% freq                                            S-parameter, 11 component (1)                     S-parameter, 21 component (1)
3.0E10                                            0.9409586801262811+0.15181577745772143i           -0.04802018990265036+0.1851859544129455i
3.01E10                                           0.9442930851547131+0.13178935066316302i           -0.043837083642982506+0.18017742586534213i
3.02E10                                           0.9472189260481176+0.11135091129978639i           -0.03982438482098353+0.17484422223256318i
3.03E10                                           0.9496541979870008+0.09049323043947877i           -0.03604932179297865+0.16917121116673772i
3.04E10                                           0.951625262781252+0.06919572026546043i            -0.032490104337413915+0.1631441966350392i
3.05E10                                           0.9530409159034341+0.047459258805817243i          -0.02922328888041593+0.15675500764188116i
3.06E10                                           0.953922840747842+0.025249319569694742i           -0.026230400863370924+0.14997700413898335i
3.07E10                                           0.954161792481044+0.002574530296494208i           -0.02360485060324237+0.1428086051563659i
3.08E10                                           0.9537910764551133-0.02059207363617i              -0.021319086368576965+0.1352298584211099i
3.09E10                                           0.9526754418299463-0.04424937773285829i           -0.019489812442298724+0.12723254915159266i
3.1E10                                            0.9508474008332936-0.06842416513396686i           -0.018090615782706605+0.11879656326835175i
3.11E10                                           0.9481448025935615-0.09310584097912702i           -0.017262851940175926+0.10992219536951046i
3.12E10                                           0.9445975475678635-0.11832588607123153i           -0.016983326975387333+0.100585007776991i
3.13E10                                           0.9400311669822283-0.14405696783297894i           -0.017406553873444214+0.09080175554849175i
3.14E10                                           0.9344531037802378-0.1703386208329207i            -0.018529112506578873+0.08053990947938547i
3.15E10                                           0.9276649087254818-0.19711813891171154i           -0.02052913737189776+0.06984029188869237i
3.16E10                                           0.9196631669255695-0.22443707258233223i           -0.023413910725836703+0.05866893924208705i
3.17E10                                           0.9102153877631651-0.25221073412688516i           -0.027394293598971466+0.04709719459977612i
3.18E10                                           0.8993046042195333-0.2804778997148449i            -0.03249079642657561+0.03509449333101721i
3.19E10                                           0.8866599709091165-0.30910523813243956i           -0.038951465481824446+0.02277899987947635i
3.2E10                                            0.8722482419909223-0.3381224466260422i            -0.04681251307782008+0.010129770721954678i
3.21E10                                           0.8557587589644273-0.3673246282801544i            -0.05636055713501633-0.00266523062541198i
3.22E10                                           0.8371199610668693-0.39668449436889347i           -0.06766739455475823-0.015573089976755777i
3.23E10                                           0.816065437799599-0.42599670353533275i            -0.08098183539207193-0.02839814570111174i
3.24E10                                           0.7924080057847043-0.4550877257707016i            -0.09648090651516157-0.04097074178633334i
3.25E10                                           0.7659260891385461-0.4836853809236117i            -0.11437282481809831-0.05302440522233203i
3.26E10                                           0.7364133271648439-0.5114732324269056i            -0.13485116814549797-0.06425220881181451i
3.27E10                                           0.703691544704214-0.538082164362202i              -0.1580819452707929-0.07428895706002302i
3.28E10                                           0.667590545442344-0.5630168929553614i             -0.1842190841448583-0.08265037669727134i
3.29E10                                           0.6280342217978205-0.5857520755085693i            -0.21332767579001707-0.08881872396892596i
3.3E10                                            0.5849916066362173-0.6056254004867112i            -0.24542185431274605-0.09214278099752606i
3.31E10                                           0.53858495020189-0.621938880646433i               -0.28036719237852253-0.09193430979459684i
3.32E10                                           0.4890640628884899-0.6338936690805032i            -0.31789784680398303-0.0874067635146646i
3.33E10                                           0.43689463022219516-0.6406926556513072i           -0.35753501980437585-0.07777458813794079i
3.34E10                                           0.38275499273572117-0.6415352791167319i           -0.3985853020644072-0.062250292788508486i
3.35E10                                           0.3275793011795203-0.6357277318704267i            -0.440100640044072-0.04015266668627686i
3.36E10                                           0.2725415897748571-0.6227406125054211i            -0.48089221242906915-0.010965399518543912i
3.37E10                                           0.21902567088401265-0.6023167795199229i           -0.5195610892998956+0.02555599772170891i
3.38E10                                           0.16854916876250173-0.5745475013298494i           -0.5545733665431218+0.06930767153672023i
3.39E10                                           0.12265214230951857-0.5399351644570284i           -0.584371041797656+0.11977485652464706i
3.4E10                                            0.08275926654949425-0.4994061766493117i           -0.6075092237568762+0.17601846842322244i
3.41E10                                           0.05003978792643552-0.45427120395353515i          -0.6227956986353957+0.23671198164526783i
3.42E10                                           0.025253594193281673-0.4061237545880576i          -0.6294446658125511+0.30025058656566306i
3.43E10                                           0.008781167086539327-0.356733764047079i           -0.6270482417501257+0.3648439052580553i
3.44E10                                           3.9311745286325683E-4-0.3078008887184684i         -0.6158008535935954+0.42877062664695514i
3.45E10                                           -4.155611437573595E-4-0.2609178055320846i         -0.5961758131455915+0.49041411727864737i
3.46E10                                           0.0053967391954017375-0.21737727823606198i        -0.5690942125103938+0.5484500068981096i
3.47E10                                           0.016721064841378697-0.17815217820314458i         -0.535627551645557+0.6018701780520954i
3.48E10                                           0.032319387712376586-0.14385435410005873i         -0.49697604928416633+0.6500212423696883i
3.49E10                                           0.050976005893650735-0.11477520678638597i         -0.454317127929346+0.692565560874211i
3.5E10                                            0.07155178182944823-0.09092675424008334i          -0.4087522369988026+0.7294386084347476i
3.51E10                                           0.09304608945468618-0.0721103590854307i           -0.36124469714693025+0.7607811042180221i
3.52E10                                           0.11462039410652808-0.05797079696464479i          -0.31259738017343125+0.786885581240717i
3.53E10                                           0.1355613616685732-0.048085764297871085i          -0.2634846555872647+0.8080989524512697i
3.54E10                                           0.15538381829476855-0.04194133897254314i          -0.21436304297476613+0.8248654684972488i
3.55E10                                           0.1736438640495289-0.039029101074858595i          -0.16564103065451735+0.8375998877777546i
3.56E10                                           0.19009870447178115-0.03887616582580612i          -0.11752865136366954+0.8466958158151121i
3.57E10                                           0.20451211505908942-0.040974098513475186i         -0.07023887759818212+0.8525420830542089i
3.58E10                                           0.21680507418745862-0.04491104229861891i          -0.023821841437801857+0.8554584753773813i
3.59E10                                           0.22689101017176522-0.050252348977774225i         0.021650701193339963+0.855745256756175i
3.6E10                                            0.2347712947456005-0.05664030274452515i           0.06619752978533738+0.8536354287429087i
3.61E10                                           0.24045660136679994-0.06372822487951231i          0.10983223356849428+0.8493284624458484i
3.62E10                                           0.24399291568630366-0.07120371087796475i          0.1526005980144968+0.842981844373076i
3.63E10                                           0.24544354561070758-0.07878360193029674i          0.19455187975306323+0.834709793717088i
3.64E10                                           0.24488744522449393-0.08620419819561133i          0.23573697014516734+0.824592996237143i
3.65E10                                           0.24241663698096508-0.09322093850589788i          0.27620366568649235+0.8126795715252904i
3.66E10                                           0.23813402680992196-0.09960467061114586i          0.315991402430726+0.7989886883110321i
3.67E10                                           0.2321540797282464-0.10513875574069244i           0.3551281153429464+0.7835141990314769i
3.68E10                                           0.22460328469300664-0.10961671238441918i          0.3936263284079278+0.7662277451755362i
3.69E10                                           0.21562130493908274-0.1128408909565867i           0.43148004684241126+0.7470820656887889i
3.7E10                                            0.205366463438543-0.11464846245319454i            0.4686855337567769+0.7260274551905552i
3.71E10                                           0.19399619405260557-0.114775207723298i            0.5051184840362108+0.7029467358271279i
3.72E10                                           0.18171754764584577-0.11316291784550737i          0.5407999692334046+0.6778197632763834i
3.73E10                                           0.16874002372822236-0.1095370131933268i           0.5755211117032147+0.6504967861085407i
3.74E10                                           0.15528981945441525-0.1038608106533851i           0.6092434628895605+0.6209590702169626i
3.75E10                                           0.14165382027829257-0.09591278665435435i          0.6416991075656138+0.5890817814436211i
3.76E10                                           0.12809504961599588-0.08564426465789128i          0.6727503196185944+0.5548272017068878i
3.77E10                                           0.11493466255165206-0.07295361022879815i          0.7021336913086954+0.5181400730751339i
3.78E10                                           0.1025171454513981-0.057811391503906316i          0.7295846668705178+0.47902465441365116i
3.79E10                                           0.09118427531860719-0.04023075380611683i          0.7548336067821941+0.4375141536075441i
3.8E10                                            0.0813906748571539-0.020221006473247868i          0.7774553265110216+0.3936607663944276i
3.81E10                                           0.07341774098866696+0.0020395639535233903i        0.7972676402197937+0.3476321794536372i
3.82E10                                           0.06778770662577042+0.026418331806519566i         0.8137607295106906+0.2996093418745342i
3.83E10                                           0.06476584962466664+0.05263825705040175i          0.826742327366606+0.24985449242523008i
3.84E10                                           0.06475802777514264+0.08039070768026453i          0.8358425237573835+0.19869839865529504i
3.85E10                                           0.06805287706778712+0.1092888942791991i           0.8408110521210678+0.14653334548007682i
3.86E10                                           0.07491816466976457+0.1388776140705716i           0.84141744195703+0.09382433003656764i
3.87E10                                           0.0855225086257451+0.16864930714043253i           0.8375285857095617+0.04108394673654334i
3.88E10                                           0.09995777244847398+0.1980587309850768i           0.8290842729218729-0.011137407718162644i
3.89E10                                           0.11821619875436701+0.22654030222018123i          0.8161219073657998-0.06227026947245994i
3.9E10                                            0.14019548076025676+0.2535087316488345i           0.7987694159256479-0.11172320253171654i
3.91E10                                           0.16564690615944877+0.27848221675229906i          0.7773084420809974-0.15902026467984134i
3.92E10                                           0.19434159553908822+0.30087740525145973i          0.7519780989413062-0.20356673338887868i
3.93E10                                           0.22581258285401828+0.3203368715116462i           0.7232810342372528-0.2450120466950554i
3.94E10                                           0.25966425289125+0.3364983753393844i              0.6916242499115519-0.2829926155644446i
3.95E10                                           0.29537955775542074+0.3490478366215509i           0.6575440653379916-0.31719108411178265i
3.96E10                                           0.3324229529676981+0.35786375494974937i           0.6215954073485854-0.34748794096876157i
3.97E10                                           0.3703021090930822+0.3628838793454931i            0.5842848913761147-0.37382573890091286i
3.98E10                                           0.4084690782550943+0.36407591523657223i           0.5461735125319661-0.3961684768948205i
3.99E10                                           0.4464849866810852+0.3615764336267326i            0.5077115900507844-0.41465925931513015i
4.0E10                                            0.48387471935280585+0.3555188721902926i           0.4693862739972431-0.42942951497952153i
